side,a,b,c,intercept,r2
shorts,-0.09925302255357678,-0.0008798084098195936,9.386351942726278e-05,-0.19302638688838644,0.07956441427590577
videos,-0.0694029614444694,-1.55903448440717e-05,-0.0002581439249961624,-0.6427796722652315,0.03350500234107456
