side,a,b,c,intercept,r2
shorts,-0.07361243869128227,-3.1421973090823465e-05,0.00014833332544489047,-360.1437643301672,0.505471333781387
videos,-0.21163192269194903,0.00017052001237736006,-3.581102853236321e-05,-27.910735290545716,0.5062964310271831
