minutes_since_peak,mean_normalized_attention,median_normalized_attention,mean_new_view_count,items_observed,eligible_for_fit
0.0,1.0,1.0,2117.3333333333335,21,True
1.0,0.03731009228740781,0.0,68.57142857142857,21,True
2.0,0.0032166048090334484,0.0,2.4285714285714284,21,True
3.0,0.007813345211973365,0.0,5.333333333333333,21,True
4.0,0.2000482570973339,0.0,533.0,21,True
5.0,0.42343615568820603,0.47572815533980584,950.5238095238095,21,True
6.0,0.10855455237084828,0.0,68.28571428571429,21,True
7.0,0.005200261711553651,0.0,2.6666666666666665,21,True
8.0,0.0050532392144325465,0.0,3.1904761904761907,21,True
9.0,0.20882203156958504,0.0,399.9047619047619,21,True
10.0,0.39113097060117225,0.47606285783895724,785.4761904761905,21,True
11.0,0.05078191910812477,0.0,31.38095238095238,21,True
12.0,0.00623032276019735,0.0,3.9047619047619047,21,True
13.0,0.00746550119871906,0.0,4.285714285714286,21,True
14.0,0.08408415499182098,0.0,280.4761904761905,21,True
15.0,0.37508342796524,0.3904382470119522,653.7619047619048,21,True
16.0,0.0693237649788142,0.0099601593625498,56.666666666666664,21,True
17.0,0.005465525488415858,0.0,3.1904761904761907,21,True
18.0,0.003676502607683572,0.0,2.4761904761904763,21,True
19.0,0.12951952040608786,0.02912621359223301,460.4761904761905,21,True
20.0,0.3248624736735139,0.4060356652949246,503.95238095238096,21,True
21.0,0.031895995431713696,0.0,19.095238095238095,21,True
22.0,0.008680864632506472,0.0,3.3333333333333335,21,True
23.0,0.004097509586049541,0.0,2.9523809523809526,21,True
24.0,0.16476493860538965,0.029945553539019964,433.1904761904762,21,True
25.0,0.3592076122566637,0.4867298578199052,580.7619047619048,21,True
26.0,0.004817255386423247,0.0,3.619047619047619,21,True
27.0,0.006463362006496905,0.0,3.619047619047619,21,True
28.0,0.0058172653690302676,0.0,3.1904761904761907,21,True
29.0,0.12851005352326317,0.036297640653357534,362.5238095238095,21,True
30.0,0.2385865244520601,0.18723352418077718,303.6666666666667,21,True
31.0,0.0375212308046295,0.0,20.61904761904762,21,True
32.0,0.0035320368512346432,0.0,2.4285714285714284,21,True
33.0,0.0072033817850011336,0.0,3.3333333333333335,21,True
34.0,0.13138476775500732,0.005847953216374269,483.3809523809524,21,True
35.0,0.3326569074964623,0.3592233009708738,632.7142857142857,21,True
36.0,0.010109336222459846,0.0,13.047619047619047,21,True
37.0,0.0068838966561531,0.0,3.9523809523809526,21,True
38.0,0.0036189852525275643,0.0,2.0476190476190474,21,True
