transform,variable,n_obs,adf_pvalue,kpss_pvalue,passes_stationarity,note,selected_transform
logdiff,video,1035,2.5168110389288566e-20,0.1,True,,True
logdiff,shorts,1035,7.493798445862192e-18,0.1,True,,True
