source,target,lag_steps,lag_minutes,val,p_value,q_value,significant,cross_series
video,video,12,60.0,-0.07085115614535928,1.2134463225279335e-10,5.824542348134081e-09,True,False
shorts,video,11,55.0,-0.06644860676686548,1.243181907436495e-09,2.4035908123716975e-08,True,True
video,shorts,11,55.0,-0.0655411342934129,1.502244257732311e-09,2.4035908123716975e-08,True,True
video,video,1,5.0,0.05544993574676571,5.180903818790984e-07,6.217084582549182e-06,True,False
shorts,shorts,1,5.0,0.04725473183233407,2.9328651154129857e-05,0.0002815550510796466,True,False
shorts,video,1,5.0,-0.03608437226552488,0.0029329166355683794,0.023463333084547035,True,True
