metric,group,n_items,time_to_peak_mean_min,time_to_peak_median_min,peak_duration_mean_min,peak_duration_median_min,n_with_detected_drop
views,videos,111,280.99624624624624,263.8333333333333,12.15586080586081,9.216666666666667,91
views,shorts,32,183.97083333333333,24.708333333333332,24.33505747126437,20.166666666666668,29
likes,videos,111,152.36291291291292,26.15,21.45943775100402,10.233333333333333,83
likes,shorts,32,130.23541666666665,17.34166666666667,48.68277777777777,26.008333333333333,30
comments,videos,62,121.6051075268817,2.5,7.553030303030303,7.166666666666667,44
comments,shorts,29,65.94942528735632,2.0166666666666666,4.359259259259259,3.033333333333333,27
