transform,variable,n_obs,adf_pvalue,kpss_pvalue,passes_stationarity,note,selected_transform
logdiff,video,4855,2.560111496529257e-17,0.1,True,,True
logdiff,shorts,4855,1.1144469678623803e-28,0.07871240101254942,True,,True
