transform,variable,n_obs,adf_pvalue,kpss_pvalue,passes_stationarity,note,selected_transform
logdiff,video,348,1.6931641496286508e-19,0.1,True,,True
logdiff,shorts,348,7.401759034851117e-15,0.1,True,,True
