source,target,lag_steps,lag_minutes,val,p_value,q_value,significant,cross_series
shorts,shorts,1,5.0,-0.6188277041858868,9.728891101662431e-34,4.669867728797967e-32,True,False
video,video,1,5.0,-0.561903457406382,2.1274100245087152e-26,5.105784058820917e-25,True,False
video,video,2,10.0,-0.4065521036590516,8.37491254973307e-13,1.3399860079572912e-11,True,False
shorts,shorts,2,10.0,-0.37527871560487075,4.2847030806449454e-11,5.141643696773935e-10,True,False
shorts,shorts,3,15.0,-0.3302793504796694,1.3406886858822206e-08,1.2870611384469318e-07,True,False
