transform,variable,n_obs,adf_pvalue,kpss_pvalue,passes_stationarity,note,selected_transform
logdiff,video,348,9.659367620358833e-10,0.1,True,,True
logdiff,shorts,348,9.835638110636824e-10,0.1,True,,True
