source,target,lag_steps,lag_minutes,val,p_value,q_value,significant,cross_series
video,video,1,5.0,-0.42002754935285436,2.6768728858682076e-13,1.2848989852167397e-11,True,False
shorts,shorts,1,5.0,-0.27085341004285485,1.1947842698138944e-05,0.00014337411237766733,True,False
shorts,video,1,5.0,0.27029820517146513,1.1947842698138944e-05,0.00014337411237766733,True,True
video,video,2,10.0,-0.2725875579378417,1.1947842698138944e-05,0.00014337411237766733,True,False
shorts,shorts,10,50.0,-0.14258235763313826,0.08626613883151844,0.6901291106521475,False,False
shorts,video,2,10.0,0.14926775631606776,0.07455572064138476,0.6901291106521475,False,True
shorts,shorts,2,10.0,-0.12517939651482224,0.1616148884542671,0.8619460717560913,False,False
video,shorts,2,10.0,-0.12188157426826582,0.1616148884542671,0.8619460717560913,False,True
video,video,12,60.0,-0.123213625500654,0.1616148884542671,0.8619460717560913,False,False
shorts,shorts,3,15.0,0.041731973918535815,0.9929229459176123,0.9929229459176123,False,False
shorts,shorts,4,20.0,0.009844030790647804,0.9929229459176123,0.9929229459176123,False,False
shorts,shorts,5,25.0,0.01578040984004269,0.9929229459176123,0.9929229459176123,False,False
shorts,shorts,6,30.0,-0.06093495744762312,0.7867803726849334,0.9929229459176123,False,False
shorts,shorts,7,35.0,-0.016561132760495784,0.9929229459176123,0.9929229459176123,False,False
shorts,shorts,8,40.0,-0.014845152181844717,0.9929229459176123,0.9929229459176123,False,False
shorts,shorts,9,45.0,0.0035330118417410484,0.9929229459176123,0.9929229459176123,False,False
shorts,shorts,11,55.0,-0.08726314968293541,0.4446739321712767,0.9929229459176123,False,False
shorts,shorts,12,60.0,0.03841025285492333,0.9929229459176123,0.9929229459176123,False,False
shorts,video,3,15.0,-0.03796190497540247,0.9929229459176123,0.9929229459176123,False,True
shorts,video,4,20.0,-0.016884061517695396,0.9929229459176123,0.9929229459176123,False,True
shorts,video,5,25.0,0.031976759711955,0.9929229459176123,0.9929229459176123,False,True
shorts,video,6,30.0,-0.0030852142958827824,0.9929229459176123,0.9929229459176123,False,True
shorts,video,7,35.0,-0.008102073465865185,0.9929229459176123,0.9929229459176123,False,True
shorts,video,8,40.0,-0.03446796266308255,0.9929229459176123,0.9929229459176123,False,True
shorts,video,9,45.0,-0.015643787560904114,0.9929229459176123,0.9929229459176123,False,True
shorts,video,10,50.0,-0.027662580211703564,0.9929229459176123,0.9929229459176123,False,True
shorts,video,11,55.0,-0.04593971956191138,0.9929229459176123,0.9929229459176123,False,True
shorts,video,12,60.0,0.006481438024943846,0.9929229459176123,0.9929229459176123,False,True
video,shorts,1,5.0,-0.08334059132686207,0.44593671369340593,0.9929229459176123,False,True
video,shorts,3,15.0,0.051466550807722285,0.9649015304068688,0.9929229459176123,False,True
video,shorts,4,20.0,-0.01306830921772047,0.9929229459176123,0.9929229459176123,False,True
video,shorts,5,25.0,-0.017595137228384697,0.9929229459176123,0.9929229459176123,False,True
video,shorts,6,30.0,-0.025059090586231108,0.9929229459176123,0.9929229459176123,False,True
video,shorts,7,35.0,0.019374502223502798,0.9929229459176123,0.9929229459176123,False,True
video,shorts,8,40.0,0.021438489208272675,0.9929229459176123,0.9929229459176123,False,True
video,shorts,9,45.0,0.008905224318100332,0.9929229459176123,0.9929229459176123,False,True
video,shorts,10,50.0,-0.0980984091050926,0.3278692307871863,0.9929229459176123,False,True
video,shorts,11,55.0,-0.10607293354133077,0.2843316140467553,0.9929229459176123,False,True
video,shorts,12,60.0,-0.08429194786584594,0.44593671369340593,0.9929229459176123,False,True
video,video,3,15.0,-0.09831326497386143,0.3278692307871863,0.9929229459176123,False,False
video,video,4,20.0,-0.04326735979860521,0.9929229459176123,0.9929229459176123,False,False
video,video,5,25.0,0.0024452579718224478,0.9929229459176123,0.9929229459176123,False,False
video,video,6,30.0,0.012150872018590416,0.9929229459176123,0.9929229459176123,False,False
video,video,7,35.0,0.000892481565098969,0.9929229459176123,0.9929229459176123,False,False
video,video,8,40.0,-0.01410072381161157,0.9929229459176123,0.9929229459176123,False,False
video,video,9,45.0,-0.0005025610367460343,0.9929229459176123,0.9929229459176123,False,False
video,video,10,50.0,-0.025986673342527827,0.9929229459176123,0.9929229459176123,False,False
video,video,11,55.0,-0.06881385583878256,0.6697704529528912,0.9929229459176123,False,False
