source,target,lag_steps,lag_minutes,val,p_value,q_value,significant,cross_series
shorts,shorts,1,5.0,-0.6188277041858868,9.728891101662431e-34,4.669867728797967e-32,True,False
video,video,1,5.0,-0.561903457406382,2.1274100245087152e-26,5.105784058820917e-25,True,False
video,video,2,10.0,-0.4065521036590516,8.37491254973307e-13,1.3399860079572912e-11,True,False
shorts,shorts,2,10.0,-0.37527871560487075,4.2847030806449454e-11,5.141643696773935e-10,True,False
shorts,shorts,3,15.0,-0.3302793504796694,1.3406886858822206e-08,1.2870611384469318e-07,True,False
shorts,video,1,5.0,-0.16489848327978832,0.025105578620439953,0.20084462896351962,False,True
shorts,video,2,10.0,-0.14579000027572092,0.06251984809499612,0.42870752979425913,False,True
shorts,shorts,4,20.0,-0.03863348703928405,0.8376500396176669,0.985620710846795,False,False
shorts,shorts,5,25.0,-0.035515679513666965,0.8376500396176669,0.985620710846795,False,False
shorts,shorts,6,30.0,0.03613045446045424,0.8376500396176669,0.985620710846795,False,False
shorts,shorts,7,35.0,0.035523753132171244,0.8376500396176669,0.985620710846795,False,False
shorts,shorts,8,40.0,-0.047003902587913114,0.8376500396176669,0.985620710846795,False,False
shorts,shorts,9,45.0,-0.02444181596617695,0.8376500396176669,0.985620710846795,False,False
shorts,shorts,10,50.0,0.029946701259009483,0.8376500396176669,0.985620710846795,False,False
shorts,shorts,11,55.0,-0.029583988334935387,0.8376500396176669,0.985620710846795,False,False
shorts,shorts,12,60.0,0.0031709225469799844,0.985620710846795,0.985620710846795,False,False
shorts,video,3,15.0,0.08264656319478332,0.5734329595564598,0.985620710846795,False,True
shorts,video,4,20.0,-0.04048319407362579,0.8376500396176669,0.985620710846795,False,True
shorts,video,5,25.0,-0.03256999449535771,0.8376500396176669,0.985620710846795,False,True
shorts,video,6,30.0,0.027398455854690813,0.8376500396176669,0.985620710846795,False,True
shorts,video,7,35.0,0.11268094046773779,0.2659181317303666,0.985620710846795,False,True
shorts,video,8,40.0,0.08583261106297815,0.5734329595564598,0.985620710846795,False,True
shorts,video,9,45.0,-0.02650090794472618,0.8376500396176669,0.985620710846795,False,True
shorts,video,10,50.0,-0.07148619281907065,0.6980244140327238,0.985620710846795,False,True
shorts,video,11,55.0,0.0014133225305796478,0.985620710846795,0.985620710846795,False,True
shorts,video,12,60.0,-0.01968564499340107,0.8917921024678152,0.985620710846795,False,True
video,shorts,1,5.0,-0.04325439973744022,0.8376500396176669,0.985620710846795,False,True
video,shorts,2,10.0,-0.1027243108674809,0.3590926806351363,0.985620710846795,False,True
video,shorts,3,15.0,-0.052974473926191354,0.8376500396176669,0.985620710846795,False,True
video,shorts,4,20.0,-0.014096038708457818,0.9392605247743235,0.985620710846795,False,True
video,shorts,5,25.0,-0.027839993864388412,0.8376500396176669,0.985620710846795,False,True
video,shorts,6,30.0,-0.01844597870240073,0.8917921024678152,0.985620710846795,False,True
video,shorts,7,35.0,0.04463271191049405,0.8376500396176669,0.985620710846795,False,True
video,shorts,8,40.0,0.027834164187943298,0.8376500396176669,0.985620710846795,False,True
video,shorts,9,45.0,-0.025465450998185982,0.8376500396176669,0.985620710846795,False,True
video,shorts,10,50.0,-0.06053340378671517,0.795775429724453,0.985620710846795,False,True
video,shorts,11,55.0,-0.03781608477640206,0.8376500396176669,0.985620710846795,False,True
video,shorts,12,60.0,0.037068749816025835,0.8376500396176669,0.985620710846795,False,True
video,video,3,15.0,-0.007757600443897105,0.985620710846795,0.985620710846795,False,False
video,video,4,20.0,0.026900741509225088,0.8376500396176669,0.985620710846795,False,False
video,video,5,25.0,-0.062372581544850814,0.795775429724453,0.985620710846795,False,False
video,video,6,30.0,0.007870339427273243,0.985620710846795,0.985620710846795,False,False
video,video,7,35.0,-0.07878604891138621,0.5970422258939996,0.985620710846795,False,False
video,video,8,40.0,-0.003512235176048282,0.985620710846795,0.985620710846795,False,False
video,video,9,45.0,0.08250917616223494,0.5734329595564598,0.985620710846795,False,False
video,video,10,50.0,-0.0021785621849976177,0.985620710846795,0.985620710846795,False,False
video,video,11,55.0,-0.06147615639539936,0.795775429724453,0.985620710846795,False,False
video,video,12,60.0,0.0010178920090449803,0.985620710846795,0.985620710846795,False,False
