transform,variable,n_obs,adf_pvalue,kpss_pvalue,passes_stationarity,note,selected_transform
logdiff,video,348,2.6335265891046054e-30,0.1,True,,True
logdiff,shorts,348,1.9258445334623088e-29,0.1,True,,True
