timestep,rows_captured,unique_videos_captured,total_view_count,total_like_count,total_comment_count,new_view_count,new_like_count,new_comment_count,seconds_since_start
2026-03-07 00:12:00+00:00,1,1,0,6,2,0.0,0.0,0.0,0.0
2026-03-07 00:12:30+00:00,1,1,2,10,3,2.0,4.0,1.0,30.0
2026-03-07 00:13:00+00:00,2,2,23,18,4,21.0,4.0,0.0,60.0
2026-03-07 00:13:30+00:00,3,3,42,24,4,19.0,4.0,0.0,90.0
2026-03-07 00:14:00+00:00,3,3,48,26,4,6.0,3.0,0.0,120.0
2026-03-07 00:14:30+00:00,3,3,109,28,4,61.0,2.0,0.0,150.0
2026-03-07 00:15:00+00:00,3,3,131,31,4,22.0,3.0,0.0,180.0
2026-03-07 00:15:30+00:00,3,3,148,35,4,17.0,4.0,0.0,210.0
2026-03-07 00:16:00+00:00,3,3,245,36,5,97.0,1.0,1.0,240.0
2026-03-07 00:16:30+00:00,3,3,283,45,5,38.0,9.0,0.0,270.0
2026-03-07 00:17:00+00:00,3,3,408,50,6,125.0,5.0,1.0,300.0
2026-03-07 00:17:30+00:00,3,3,465,54,6,57.0,4.0,0.0,330.0
2026-03-07 00:18:00+00:00,3,3,486,59,7,21.0,5.0,1.0,360.0
2026-03-07 00:18:30+00:00,0,0,0,0,0,0.0,0.0,0.0,390.0
2026-03-07 00:19:00+00:00,3,3,653,69,7,167.0,10.0,0.0,420.0
2026-03-07 00:19:30+00:00,3,3,737,75,7,84.0,6.0,0.0,450.0
2026-03-07 00:20:00+00:00,4,4,832,80,7,95.0,4.0,0.0,480.0
2026-03-07 00:20:30+00:00,4,4,1005,85,7,173.0,5.0,0.0,510.0
2026-03-07 00:21:00+00:00,4,4,1084,96,7,79.0,11.0,0.0,540.0
2026-03-07 00:21:30+00:00,4,4,1311,106,8,227.0,10.0,1.0,570.0
2026-03-07 00:22:00+00:00,4,4,1430,113,9,119.0,7.0,1.0,600.0
2026-03-07 00:22:30+00:00,4,4,1488,121,9,58.0,8.0,0.0,630.0
2026-03-07 00:23:00+00:00,4,4,1720,133,9,232.0,12.0,0.0,660.0
