timestep,rows_captured,unique_videos_captured,total_view_count,new_view_count,seconds_since_start
2026-03-07 03:21:30+00:00,4,4,55524,735.0,2520.0
2026-03-07 03:22:00+00:00,4,4,56450,926.0,2550.0
2026-03-07 03:22:30+00:00,4,4,57574,1124.0,2580.0
2026-03-07 03:23:00+00:00,4,4,58429,855.0,2610.0
2026-03-07 03:23:30+00:00,0,0,0,0.0,2640.0
2026-03-07 03:24:00+00:00,4,4,59418,989.0,2670.0
2026-03-07 03:24:30+00:00,4,4,60342,924.0,2700.0
2026-03-07 03:25:00+00:00,4,4,61003,661.0,2730.0
2026-03-07 03:25:30+00:00,4,4,62012,1009.0,2760.0
2026-03-07 03:26:00+00:00,4,4,63018,1006.0,2790.0
2026-03-07 03:26:30+00:00,4,4,64349,1331.0,2820.0
2026-03-07 03:27:00+00:00,4,4,64898,549.0,2850.0
2026-03-07 03:27:30+00:00,4,4,65697,799.0,2880.0
2026-03-07 03:28:00+00:00,4,4,66795,1098.0,2910.0
2026-03-07 03:28:30+00:00,4,4,67558,763.0,2940.0
2026-03-07 03:29:00+00:00,4,4,68170,612.0,2970.0
2026-03-07 03:29:30+00:00,4,4,69618,1448.0,3000.0
2026-03-07 03:30:00+00:00,4,4,70960,1342.0,3030.0
2026-03-07 03:30:30+00:00,4,4,71564,604.0,3060.0
2026-03-07 03:31:00+00:00,4,4,72483,919.0,3090.0
2026-03-07 03:31:30+00:00,4,4,73610,1127.0,3120.0
2026-03-07 03:32:00+00:00,4,4,74253,643.0,3150.0
2026-03-07 03:32:30+00:00,4,4,75555,1302.0,3180.0
2026-03-07 03:33:00+00:00,4,4,76409,854.0,3210.0
2026-03-07 03:33:30+00:00,4,4,77016,607.0,3240.0
2026-03-07 03:34:00+00:00,4,4,78293,1277.0,3270.0
2026-03-07 03:34:30+00:00,4,4,78710,417.0,3300.0
2026-03-07 03:35:00+00:00,4,4,80319,1609.0,3330.0
2026-03-07 03:35:30+00:00,4,4,81045,726.0,3360.0
2026-03-07 03:36:00+00:00,4,4,81550,505.0,3390.0
2026-03-07 03:36:30+00:00,4,4,82420,870.0,3420.0
2026-03-07 03:37:00+00:00,4,4,83587,1167.0,3450.0
2026-03-07 03:37:30+00:00,4,4,84548,961.0,3480.0
2026-03-07 03:38:00+00:00,4,4,85524,976.0,3510.0
2026-03-07 03:38:30+00:00,4,4,86047,523.0,3540.0
2026-03-07 03:39:00+00:00,4,4,87222,1175.0,3570.0
2026-03-07 03:39:30+00:00,4,4,87904,682.0,3600.0
2026-03-07 03:40:00+00:00,4,4,89335,1431.0,3630.0
2026-03-07 03:40:30+00:00,4,4,89816,481.0,3660.0
2026-03-07 03:41:00+00:00,4,4,90160,344.0,3690.0
2026-03-07 03:41:30+00:00,4,4,91399,1239.0,3720.0
2026-03-07 03:42:00+00:00,4,4,92041,642.0,3750.0
2026-03-07 03:42:30+00:00,4,4,92963,922.0,3780.0
2026-03-07 03:43:00+00:00,4,4,93590,627.0,3810.0
2026-03-07 03:43:30+00:00,4,4,93952,362.0,3840.0
2026-03-07 03:44:00+00:00,4,4,95058,1106.0,3870.0
2026-03-07 03:44:30+00:00,4,4,95837,779.0,3900.0
2026-03-07 03:45:00+00:00,4,4,96490,653.0,3930.0
2026-03-07 03:45:30+00:00,5,5,97480,990.0,3960.0
2026-03-07 03:46:00+00:00,5,5,98258,778.0,3990.0
2026-03-07 03:46:30+00:00,5,5,99125,867.0,4020.0
2026-03-07 03:47:00+00:00,5,5,99830,705.0,4050.0
2026-03-07 03:47:30+00:00,5,5,101093,1263.0,4080.0
2026-03-07 03:48:00+00:00,5,5,101664,571.0,4110.0
2026-03-07 03:48:30+00:00,5,5,102189,525.0,4140.0
2026-03-07 03:49:00+00:00,0,0,0,0.0,4170.0
2026-03-07 03:49:30+00:00,5,5,103502,1313.0,4200.0
2026-03-07 03:50:00+00:00,5,5,103838,336.0,4230.0
2026-03-07 03:50:30+00:00,5,5,104300,462.0,4260.0
2026-03-07 03:51:00+00:00,5,5,105691,1391.0,4290.0
2026-03-07 03:51:30+00:00,5,5,106286,595.0,4320.0
2026-03-07 03:52:00+00:00,5,5,107258,972.0,4350.0
2026-03-07 03:52:30+00:00,5,5,107821,563.0,4380.0
2026-03-07 03:53:00+00:00,5,5,109420,1599.0,4410.0
2026-03-07 03:53:30+00:00,5,5,109923,503.0,4440.0
2026-03-07 03:54:00+00:00,5,5,110429,506.0,4470.0
