captured_at,video_id,channel_id,title,published_at,duration_seconds,is_short,view_count,like_count,comment_count
2026-03-06T22:27:02+00:00,AjM7TG2r9pY,UCWJ2lWNubArHWmf3FIHbfcQ,"EXTENDED: THUNDER at KNICKS | FULL GAME HIGHLIGHTS | March 4, 2026",2026-03-05T06:13:13Z,2030,0,17263,323,34
2026-03-06T22:27:02+00:00,yjE3WT4nu8Q,UCWJ2lWNubArHWmf3FIHbfcQ,"PACERS at CLIPPERS | FULL GAME HIGHLIGHTS | March 4, 2026",2026-03-05T06:12:45Z,923,0,190740,1715,229
2026-03-06T22:27:02+00:00,LQHko1BPP-0,UCWJ2lWNubArHWmf3FIHbfcQ,"HAWKS at BUCKS | FULL GAME HIGHLIGHTS | March 4, 2026",2026-03-05T05:31:40Z,929,0,151139,1565,226
2026-03-06T22:27:02+00:00,SYxc5tQPxGQ,UCWJ2lWNubArHWmf3FIHbfcQ,"Jrue Holiday Joins RARE AIR w/ 35 Point, 11 Assist Double-Double | March 4, 2026",2026-03-05T03:53:11Z,183,0,15963,402,40
2026-03-06T22:27:02+00:00,pXPuFzxILRw,UCWJ2lWNubArHWmf3FIHbfcQ,"TRAIL BLAZERS at GRIZZLIES | FULL GAME HIGHLIGHTS | March 4, 2026",2026-03-05T03:46:38Z,989,0,41481,542,66
2026-03-06T22:27:02+00:00,zbbk2wpIWYE,UCWJ2lWNubArHWmf3FIHbfcQ,"JAZZ at 76ERS | FULL GAME HIGHLIGHTS | March 4, 2026",2026-03-05T03:20:11Z,1018,0,115860,1209,95
2026-03-06T22:27:02+00:00,fatRp1ONPEc,UCWJ2lWNubArHWmf3FIHbfcQ,"HORNETS at CELTICS | FULL GAME HIGHLIGHTS | March 4, 2026",2026-03-05T03:03:09Z,901,0,403501,5704,916
2026-03-06T22:27:02+00:00,eIqsiEQlxyk,UCWJ2lWNubArHWmf3FIHbfcQ,"THUNDER at KNICKS | FULL GAME HIGHLIGHTS | March 4, 2026",2026-03-05T03:00:58Z,960,0,661648,6355,1036
2026-03-06T22:27:02+00:00,OAPe2uawDX0,UCWJ2lWNubArHWmf3FIHbfcQ,"NBA's Nightly Recap | March 3, 2026",2026-03-04T08:16:33Z,1605,0,118849,1005,39
2026-03-06T22:27:02+00:00,Z_IlhhmjQjY,UCWJ2lWNubArHWmf3FIHbfcQ,"NBA's Top 10 Plays of the Night | March 3, 2026",2026-03-04T07:54:54Z,176,0,132168,2255,195
2026-03-06T22:27:02+00:00,_arHw0fa4xY,UCWJ2lWNubArHWmf3FIHbfcQ,"SUNS at KINGS | FULL GAME HIGHLIGHTS | March 3, 2026",2026-03-04T06:40:08Z,1043,0,137862,1581,119
2026-03-06T22:27:02+00:00,HOrNKAP_zi0,UCWJ2lWNubArHWmf3FIHbfcQ,"PELICANS at LAKERS | FULL GAME HIGHLIGHTS | March 3, 2026",2026-03-04T06:19:55Z,968,0,1248299,12524,900
2026-03-06T22:27:02+00:00,fkTb6yjgdP8,UCWJ2lWNubArHWmf3FIHbfcQ,"Anthony Edwards GOES OFF For 41 PTS & 7 3PM in Dominant Win | March 3, 2026",2026-03-04T04:35:01Z,231,0,77005,1754,175
2026-03-06T22:27:02+00:00,M-1GRi2osns,UCWJ2lWNubArHWmf3FIHbfcQ,"GRIZZLIES at TIMBERWOLVES | FULL GAME HIGHLIGHTS | March 3, 2026",2026-03-04T04:25:03Z,904,0,218764,2578,193
