side,a,b,c,intercept,r2
shorts,0.09977677636818012,-2.1782844989274978e-05,8.519138976277797e-05,-21.118950424334574,0.47993368521883395
videos,-0.13954563156148186,-4.707982722770897e-05,-8.589586741657442e-06,-1.1351511472770983,0.32661868420690654
