side,a,b,c,intercept,r2
shorts,0.610213622785336,0.00014496236242649913,2.0796275879841746e-05,469.58709985264187,0.08380580361602208
videos,0.011360030359230366,2.0871974462210197e-05,-0.00042699659677989543,2683.2644932591315,0.07957205612541796
