timestep,S,V,target_S,target_V,pred_target_S,pred_target_V
2026-03-07 02:39:00+00:00,1089.0,0.0,1406.0,42.0,962.1958252546765,2683.2644932591315
2026-03-07 02:40:00+00:00,1406.0,42.0,725.0,73.0,1039.7525751158169,2708.9197994043143
2026-03-07 02:41:00+00:00,725.0,73.0,1046.0,233.0,834.6954917206414,2706.581343608022
2026-03-07 02:42:00+00:00,1046.0,233.0,1135.0,141.0,944.1964823925885,2788.8450182852557
2026-03-07 02:43:00+00:00,1135.0,141.0,802.0,261.0,972.1072903666911,2752.7857021811706
2026-03-07 02:44:00+00:00,802.0,261.0,1067.0,221.0,861.3849359045872,2774.187423041712
2026-03-07 02:45:00+00:00,1067.0,221.0,914.0,270.0,950.7430729016149,2785.4444383606897
2026-03-07 02:46:00+00:00,914.0,270.0,814.0,410.0,901.0892683951639,2790.184354671171
2026-03-07 02:47:00+00:00,814.0,410.0,962.0,396.0,863.3089581934183,2826.9193710086406
2026-03-07 02:48:00+00:00,962.0,396.0,934.0,233.0,914.5356735497286,2847.155213270615
2026-03-07 02:49:00+00:00,934.0,233.0,725.0,466.0,908.5421097476917,2777.702115095688
2026-03-07 02:50:00+00:00,725.0,466.0,856.0,687.0,828.7701128155774,2828.286593142305
2026-03-07 02:51:00+00:00,856.0,687.0,845.0,879.0,873.4811118127359,2932.3226518625142
2026-03-07 02:52:00+00:00,845.0,879.0,604.0,1244.0,866.2643223835379,2994.27727396569
2026-03-07 02:53:00+00:00,604.0,1244.0,1006.0,784.0,769.6457162185071,2985.931234056754
2026-03-07 02:54:00+00:00,1006.0,784.0,890.0,1087.0,920.3527689824908,3016.1155965924145
2026-03-07 02:55:00+00:00,890.0,1087.0,829.0,1066.0,877.7335956791256,3084.0404858890497
2026-03-07 02:56:00+00:00,829.0,1066.0,826.0,548.0,857.4521540824571,3048.99916273684
2026-03-07 02:57:00+00:00,826.0,548.0,378.0,1304.0,865.3058188019687,2876.501008016316
2026-03-07 02:58:00+00:00,378.0,1304.0,1114.0,937.0,669.2843131360664,2873.0586800324063
2026-03-07 02:59:00+00:00,1114.0,937.0,1044.0,541.0,947.7598366173258,3121.290628816715
2026-03-07 03:00:00+00:00,1044.0,541.0,812.0,1924.0,936.9046047848059,2924.4708251735733
2026-03-07 03:01:00+00:00,812.0,1924.0,741.0,943.0,837.0107254108308,3294.9494767235374
2026-03-07 03:02:00+00:00,741.0,943.0,631.0,1842.0,827.6276472904455,2973.78604242505
2026-03-07 03:03:00+00:00,631.0,1842.0,1274.0,2083.0,772.7419835963998,3129.670809652101
2026-03-07 03:04:00+00:00,1274.0,2083.0,839.0,2050.0,956.5263731774844,3749.5050588269164
2026-03-07 03:05:00+00:00,839.0,2050.0,902.0,2295.0,843.7457235483814,3353.2508794496966
2026-03-07 03:06:00+00:00,902.0,2295.0,485.0,2232.0,859.0076669492638,3483.323936669836
2026-03-07 03:07:00+00:00,485.0,2232.0,891.0,1568.0,708.9295506363103,3066.8719336638806
2026-03-07 03:08:00+00:00,891.0,1568.0,1175.0,2768.0,869.1503450324484,3246.312504924258
2026-03-07 03:09:00+00:00,1175.0,2768.0,921.0,2409.0,918.8116373287289,3943.5553937984637
2026-03-07 03:10:00+00:00,921.0,2409.0,701.0,1549.0,862.49035863535,3536.8775258784776
2026-03-07 03:11:00+00:00,701.0,1549.0,787.0,2906.0,803.530584198568,3114.4347715058307
2026-03-07 03:12:00+00:00,787.0,2906.0,1322.0,2318.0,812.4784870756955,3516.5669509142517
2026-03-07 03:13:00+00:00,1322.0,2318.0,1006.0,1975.0,959.2130831387786,3905.9359999074636
2026-03-07 03:14:00+00:00,1006.0,1975.0,1164.0,2922.0,895.4357942221618,3472.664996144088
2026-03-07 03:15:00+00:00,1164.0,2922.0,940.0,1581.0,912.7343718798342,3990.5560717051517
2026-03-07 03:16:00+00:00,940.0,1581.0,727.0,2254.0,884.1929843947349,3283.630650236812
2026-03-07 03:17:00+00:00,727.0,2254.0,1324.0,2209.0,802.5176073259563,3302.530990768136
2026-03-07 03:18:00+00:00,1324.0,2209.0,806.0,1219.0,962.5711933772849,3855.3540016546476
2026-03-07 03:19:00+00:00,806.0,1219.0,1132.0,2022.0,846.8138783405147,3085.627564511795
2026-03-07 03:20:00+00:00,1132.0,2022.0,1118.0,2631.0,926.9899914891547,3598.2539593642296
2026-03-07 03:21:00+00:00,1118.0,2631.0,666.0,2050.0,909.4426221761004,3824.666121089957
2026-03-07 03:22:00+00:00,666.0,2050.0,411.0,855.0,783.2972915404795,3201.816536401707
2026-03-07 03:23:00+00:00,411.0,855.0,1305.0,1913.0,688.5897962684124,2827.768123176476
2026-03-07 03:24:00+00:00,1305.0,1913.0,942.0,1670.0,967.1241754517476,3694.5958596057644
2026-03-07 03:25:00+00:00,942.0,1670.0,1140.0,2337.0,883.0584973065861,3315.751320639713
2026-03-07 03:26:00+00:00,1140.0,2337.0,953.0,1348.0,921.4325213448899,3733.4149487261157
2026-03-07 03:27:00+00:00,953.0,1348.0,798.0,1861.0,892.7487491186753,3209.1898819739063
2026-03-07 03:28:00+00:00,798.0,1861.0,715.0,2060.0,833.340866801612,3266.2424142439168
2026-03-07 03:29:00+00:00,715.0,2060.0,676.0,1946.0,801.1506216692512,3247.0171323684185
2026-03-07 03:30:00+00:00,676.0,1946.0,883.0,2046.0,788.4897705884888,3188.0430133732234
2026-03-07 03:31:00+00:00,883.0,2046.0,1092.0,1945.0,857.809243036651,3390.554346807568
2026-03-07 03:32:00+00:00,1092.0,1945.0,1314.0,1461.0,918.9079351934449,3533.315702882623
2026-03-07 03:33:00+00:00,1314.0,1461.0,1101.0,1694.0,981.192631271,3475.0382544675076
2026-03-07 03:34:00+00:00,1101.0,1694.0,750.0,2335.0,926.9217684776945,3439.002206054431
2026-03-07 03:35:00+00:00,750.0,2335.0,932.0,1375.0,809.2865099421654,3343.769253296502
2026-03-07 03:36:00+00:00,932.0,1375.0,545.0,2128.0,885.7379816482024,3206.619597058893
2026-03-07 03:37:00+00:00,545.0,2128.0,855.0,1499.0,734.9773896565139,3108.1358957419443
2026-03-07 03:38:00+00:00,855.0,1499.0,1030.0,1857.0,858.6951933412529,3200.6518845590263
2026-03-07 03:39:00+00:00,1030.0,1857.0,1015.0,1912.0,904.539316185133,3449.1047908008613
2026-03-07 03:40:00+00:00,1015.0,1912.0,691.0,1583.0,899.2511604744265,3457.346031336409
2026-03-07 03:41:00+00:00,691.0,1583.0,623.0,1564.0,799.2798706635492,3116.016078482139
2026-03-07 03:42:00+00:00,623.0,1564.0,607.0,989.0,773.2227811600784,3066.0302554944737
2026-03-07 03:43:00+00:00,607.0,989.0,1489.0,1885.0,774.0910486846454,2930.420124720156
2026-03-07 03:44:00+00:00,1489.0,1885.0,1854.0,1643.0,998.425826964721,3828.994431988717
2026-03-07 03:45:00+00:00,1854.0,1643.0,1006.0,1645.0,1039.293715254595,3946.2699199256767
2026-03-07 03:46:00+00:00,1006.0,1645.0,498.0,1968.0,902.3397418887517,3352.095516619109
2026-03-07 03:47:00+00:00,498.0,1968.0,1157.0,1096.0,717.1405569446166,3043.267367613061
2026-03-07 03:48:00+00:00,1157.0,1096.0,542.0,1313.0,955.1793647679021,3212.105765329125
2026-03-07 03:49:00+00:00,542.0,1313.0,907.0,798.0,742.9385734216501,2966.0679962911845
2026-03-07 03:50:00+00:00,907.0,798.0,1585.0,1986.0,888.7456598971772,2988.0925994572976
2026-03-07 03:51:00+00:00,1585.0,1986.0,1143.0,1535.0,1007.1348958431629,3967.6065126763338
2026-03-07 03:52:00+00:00,1143.0,1535.0,775.0,2102.0,941.1881672539819,3400.6907358666394
2026-03-07 03:53:00+00:00,775.0,2102.0,1500.0,1748.0,821.5564653568049,3310.5212676067954
2026-03-07 03:54:00+00:00,1500.0,1748.0,1658.0,1676.0,1004.2143832140779,3758.9325016267708
2026-03-07 03:55:00+00:00,1658.0,1676.0,403.0,973.0,1025.0361129802188,3830.216587908988
2026-03-07 03:56:00+00:00,403.0,973.0,1064.0,1973.0,683.8053826140793,2841.991177820765
2026-03-07 03:57:00+00:00,1064.0,1973.0,626.0,1955.0,911.0860441838222,3520.8108925969127
2026-03-07 03:58:00+00:00,626.0,1955.0,1438.0,1740.0,769.3224506679887,3148.2713894546373
2026-03-07 03:59:00+00:00,1438.0,1740.0,449.0,1496.0,995.2799602440239,3708.235680937317
2026-03-07 04:00:00+00:00,449.0,1496.0,1141.0,1565.0,700.37951756212,2940.3626079219653
2026-03-07 04:01:00+00:00,1141.0,1565.0,437.0,1658.0,939.9819161235595,3412.3956571080917
2026-03-07 04:02:00+00:00,437.0,1658.0,629.0,1514.0,693.4992771159717,2954.1017933996864
2026-03-07 04:03:00+00:00,629.0,1514.0,517.0,1597.0,776.253996253807,3059.2523439417014
2026-03-07 04:04:00+00:00,517.0,1597.0,1192.0,1432.0,729.1502735581286,3000.7237033613555
2026-03-07 04:05:00+00:00,1192.0,1432.0,603.0,1811.0,955.4918577505565,3385.590763867816
2026-03-07 04:06:00+00:00,603.0,1811.0,458.0,1663.0,762.1260752147714,3101.6776298558625
2026-03-07 04:07:00+00:00,458.0,1663.0,623.0,1715.0,702.8174873873087,2969.657004128846
2026-03-07 04:08:00+00:00,623.0,1715.0,547.0,1102.0,771.266413099234,3097.5801510840924
2026-03-07 04:09:00+00:00,547.0,1102.0,1593.0,1398.0,747.4640376942369,2927.8272239995376
2026-03-07 04:10:00+00:00,1593.0,1398.0,914.0,1500.0,1027.4802093681692,3609.2809443056767
2026-03-07 04:11:00+00:00,914.0,1500.0,186.0,1834.0,877.7096791255283,3238.7549304432405
2026-03-07 04:12:00+00:00,186.0,1834.0,898.0,1279.0,570.9776069869721,2779.5535210836915
2026-03-07 04:13:00+00:00,898.0,1279.0,840.0,506.0,876.7753079121097,3154.0742657711253
2026-03-07 04:14:00+00:00,840.0,506.0,3403.0,1938.0,871.0418509642183,2865.159325262822
2026-03-07 04:15:00+00:00,3403.0,1938.0,586.0,1109.0,730.2688811106289,5442.93688575904
2026-03-07 04:16:00+00:00,586.0,1109.0,1021.0,1290.0,763.8778284059024,2947.6867084396986
2026-03-07 04:17:00+00:00,1021.0,1290.0,1419.0,1757.0,914.1099316676471,3225.578827372807
2026-03-07 04:18:00+00:00,1419.0,1757.0,1910.0,1610.0,991.7407496482382,3703.3719148581977
2026-03-07 04:19:00+00:00,1910.0,1610.0,1630.0,1312.0,1042.3072970464207,3960.5091318918535
