side,a,b,c,intercept,r2
shorts,0.10619525353019087,-4.424035084802647e-06,1.4073530375001632e-05,-45.30443810654572,0.49931017665433275
videos,-0.18824047481723277,-1.0285618536128326e-05,-4.5618156384677226e-06,2.3033240917705378,0.10846314723227701
