side,a,b,c,intercept,r2
shorts,0.6493414594587864,-0.00010713877498262193,4.614061040931385e-05,-470.3000140217641,0.4077460374498115
videos,0.5597408683033547,-2.8162266731760352e-05,-0.00010989410735641273,-2718.6517585491965,0.4981133067144208
