side,a,b,c,intercept,r2
shorts,-0.02695687650066162,-6.351934655258095e-09,2.915185448947812e-10,-2284.3634173776777,0.012765734609317514
videos,-0.0035351071617291167,5.04734387200334e-10,-4.009830491973265e-09,-3129.723431979096,0.006277681419689096
