timestep,S,V,target_S,target_V,pred_target_S,pred_target_V
2026-03-07 02:40:00+00:00,1406.0,42.0,317.0,42.0,651.7451700329453,-2688.6034970143296
2026-03-07 02:41:00+00:00,725.0,73.0,-681.0,31.0,54.34537088018383,-2671.8244528118
2026-03-07 02:42:00+00:00,1046.0,233.0,321.0,160.0,314.88810321327577,-2559.920062879224
2026-03-07 02:43:00+00:00,1135.0,141.0,89.0,-92.0,397.3372782790921,-2621.5814986227456
2026-03-07 02:44:00+00:00,802.0,261.0,-333.0,120.0,109.72568023600653,-2547.637695809927
2026-03-07 02:45:00+00:00,1067.0,221.0,265.0,-40.0,333.6433610931622,-2567.6597536113154
2026-03-07 02:46:00+00:00,914.0,270.0,-153.0,49.0,201.3148041521387,-2538.3490270491293
2026-03-07 02:47:00+00:00,814.0,410.0,-100.0,140.0,113.85469040806896,-2447.7478661180826
2026-03-07 02:48:00+00:00,962.0,396.0,148.0,-14.0,235.94004863595703,-2450.71370069562
2026-03-07 02:49:00+00:00,934.0,233.0,-28.0,-163.0,219.60685038298672,-2562.787859504797
2026-03-07 02:50:00+00:00,725.0,466.0,-209.0,233.0,41.198757459310066,-2414.569184555067
2026-03-07 02:51:00+00:00,856.0,687.0,131.0,221.0,136.90671165599758,-2256.1924176563693
2026-03-07 02:52:00+00:00,845.0,879.0,-11.0,192.0,120.62211394330708,-2123.255815671141
2026-03-07 02:53:00+00:00,604.0,1244.0,-241.0,365.0,-73.68078046150559,-1896.1802019617894
2026-03-07 02:54:00+00:00,1006.0,784.0,402.0,-460.0,254.97450747982032,-2175.8308895306573
2026-03-07 02:55:00+00:00,890.0,1087.0,-116.0,303.0,147.84069783200815,-1970.622917083656
2026-03-07 02:56:00+00:00,829.0,1066.0,-61.0,-21.0,100.85911134014557,-1992.850670975219
2026-03-07 02:57:00+00:00,826.0,548.0,-3.0,-518.0,118.26879131068166,-2353.713173463678
2026-03-07 02:58:00+00:00,378.0,1304.0,-448.0,756.0,-232.28378617980158,-1886.6939730894046
2026-03-07 02:59:00+00:00,1114.0,937.0,736.0,-367.0,337.8627633374287,-2054.73952043618
2026-03-07 03:00:00+00:00,1044.0,541.0,-70.0,-396.0,298.32647618104585,-2345.520756996432
2026-03-07 03:01:00+00:00,812.0,1924.0,-232.0,1383.0,55.52163755576626,-1365.7736796466775
2026-03-07 03:02:00+00:00,741.0,943.0,-71.0,-981.0,37.44852179198631,-2088.982916071492
2026-03-07 03:03:00+00:00,631.0,1842.0,-110.0,899.0,-71.53639507738048,-1464.3253811865832
2026-03-07 03:04:00+00:00,1274.0,2083.0,643.0,241.0,408.41010392359044,-1138.8879722915863
2026-03-07 03:05:00+00:00,839.0,2050.0,-435.0,-33.0,70.55516121520051,-1263.8186826394344
2026-03-07 03:06:00+00:00,902.0,2295.0,63.0,245.0,107.05930208880586,-1058.224410162711
