timestep,S,V,target_S,target_V,pred_target_S,pred_target_V
2026-04-09 18:25:00+00:00,1892.0,6006.0,-1294.0,4492.0,-925.8139620142838,1133.9908460440108
2026-04-09 18:30:00+00:00,3929.0,6955.0,2037.0,949.0,249.3606631384136,1435.7839166401359
2026-04-09 18:35:00+00:00,3797.0,6010.0,-132.0,-945.0,419.7161182270666,1239.1173839137473
2026-04-09 18:40:00+00:00,2627.0,5417.0,-1170.0,-593.0,-258.1474508933588,996.5352298217043
2026-04-09 18:45:00+00:00,3121.0,5181.0,494.0,-236.0,158.69459994578872,934.3956409630237
2026-04-09 18:50:00+00:00,4242.0,4803.0,1121.0,-378.0,1025.2007466791176,827.8608203752191
2026-04-09 18:55:00+00:00,3846.0,5214.0,-396.0,411.0,655.4623941679579,981.3557758882542
2026-04-09 19:00:00+00:00,1429.0,4413.0,-2417.0,-801.0,-1155.9927825280206,528.625779621181
2026-04-09 19:05:00+00:00,1990.0,4478.0,561.0,65.0,-642.8511275822083,582.4126008653893
2026-04-09 19:10:00+00:00,3074.0,4691.0,1084.0,213.0,225.4462356466538,726.798761003362
2026-04-09 19:15:00+00:00,3915.0,3361.0,841.0,-1330.0,1188.8002441593094,17.820960090617813
2026-04-09 19:20:00+00:00,3981.0,4441.0,66.0,1080.0,950.406668877837,645.0992209481136
2026-04-09 19:25:00+00:00,1590.0,3452.0,-2391.0,-989.0,-900.1055535837847,4.049636048482824
2026-04-09 19:30:00+00:00,1355.0,2976.0,-235.0,-476.0,-1096.1969677945506,-315.4206447186067
2026-04-09 19:35:00+00:00,1406.0,3357.0,51.0,381.0,-1078.1571516407548,-61.408338415161275
2026-04-09 19:40:00+00:00,3275.0,2925.0,1869.0,-432.0,767.7429280980243,-299.75343402080586
2026-04-09 19:45:00+00:00,4702.0,3096.0,1427.0,171.0,1851.1221415307434,-139.37644200430623
2026-04-09 19:50:00+00:00,4314.0,2204.0,-388.0,-892.0,1825.8960028388751,-832.8151090248832
2026-04-09 19:55:00+00:00,1890.0,2587.0,-2424.0,383.0,-492.5581750571851,-582.519189297103
2026-04-09 20:00:00+00:00,2834.0,2469.0,944.0,-118.0,461.0291964745806,-651.1172556714788
2026-04-09 20:05:00+00:00,5317.0,3569.0,2483.0,1100.0,2100.766961952081,196.9010283702056
2026-04-09 20:10:00+00:00,3505.0,3109.0,-1812.0,-460.0,921.766528725069,-164.08905537346368
2026-04-09 20:15:00+00:00,3647.0,3447.0,142.0,338.0,956.237874242842,65.41584661953834
2026-04-09 20:20:00+00:00,1382.0,2698.0,-2265.0,-749.0,-1041.6730146293855,-512.377003172537
2026-04-09 20:25:00+00:00,1728.0,2176.0,346.0,-522.0,-613.7147907418522,-907.2999893387456
2026-04-09 20:30:00+00:00,2987.0,4611.0,1259.0,2435.0,173.9882996811913,686.280241771494
2026-04-09 20:35:00+00:00,2842.0,3863.0,-145.0,-748.0,201.98133920915234,291.6973615448854
2026-04-09 20:40:00+00:00,3222.0,3374.0,380.0,-489.0,624.1254449587907,5.090900730196176
2026-04-09 20:45:00+00:00,2973.0,4281.0,-249.0,907.0,228.99624131505297,524.0007468341203
2026-04-09 20:50:00+00:00,2553.0,3497.0,-420.0,-784.0,14.556869503428624,62.559904597186666
2026-04-09 20:55:00+00:00,2917.0,3517.0,364.0,20.0,333.46407633579605,86.67528313609776
2026-04-09 21:00:00+00:00,3649.0,4928.0,732.0,1411.0,594.1492840280806,856.2961706471292
2026-04-09 21:05:00+00:00,2700.0,3888.0,-949.0,-1040.0,75.5190447902029,300.98446680239203
2026-04-09 21:10:00+00:00,2420.0,3526.0,-280.0,-362.0,-111.50661591650841,76.36180799962662
2026-04-09 21:15:00+00:00,3156.0,4011.0,736.0,485.0,432.8186289147039,386.52189731909175
2026-04-09 21:20:00+00:00,2620.0,3663.0,-536.0,-348.0,45.72904118195903,166.54333237386584
2026-04-09 21:25:00+00:00,2253.0,3604.0,-367.0,-59.0,-277.93055782274865,118.7761736697225
2026-04-09 21:30:00+00:00,3238.0,3110.0,985.0,-494.0,695.1651464410687,-170.9501575011234
2026-04-09 21:35:00+00:00,4321.0,4527.0,1083.0,1417.0,1156.0777448848607,701.5448230020905
2026-04-09 21:40:00+00:00,3278.0,5113.0,-1043.0,586.0,287.6838124607726,915.2657767233814
2026-04-09 21:45:00+00:00,2299.0,2897.0,-979.0,-2216.0,-125.91999189137316,-345.55681567225685
2026-04-09 21:50:00+00:00,2264.0,3097.0,-35.0,200.0,-190.47113416180298,-207.33933943392196
2026-04-09 21:55:00+00:00,1813.0,3540.0,-451.0,443.0,-688.8015911058203,65.48107678119024
2026-04-09 22:00:00+00:00,2159.0,3046.0,346.0,-494.0,-284.6378299312343,-245.1722180341378
2026-04-09 22:05:00+00:00,3082.0,4172.0,923.0,1126.0,339.26267596334736,471.2255793595137
2026-04-09 22:10:00+00:00,3154.0,3583.0,72.0,-589.0,522.0444671021792,135.36169517254075
