side,a,b,c,intercept,r2
shorts,1.4021327806881378,5.1168534599528026e-05,6.729661150115248e-05,-2630.7679369427115,0.4558428425483583
videos,1.1139420197041872,7.321213004611806e-05,-9.09427525727549e-06,-3018.7757845723977,0.3546841307828339
