captured_at,video_id,channel_id,title,published_at,view_count,like_count,comment_count
2026-03-07T02:49:18+00:00,MKYqc0u8-N4,UCWJ2lWNubArHWmf3FIHbfcQ,"HEAT at HORNETS | FULL GAME HIGHLIGHTS | March 6, 2026",2026-03-07T02:48:04Z,1,7,4
2026-03-07T02:49:18+00:00,NCQhVKZ__Uw,UCWJ2lWNubArHWmf3FIHbfcQ,"Tyler Herro Was COOKING In Charlotte - 33 PTS, 9 REB, & 9 AST 🔥 | March 6, 2026",2026-03-07T02:45:04Z,134,9,8
2026-03-07T02:49:18+00:00,ejjwYF5b4dQ,UCWJ2lWNubArHWmf3FIHbfcQ,"Jayson Tatum's First Game In 298 days 🍀 | March 6, 2026",2026-03-07T02:38:44Z,1943,143,25
2026-03-07T02:49:49+00:00,MKYqc0u8-N4,UCWJ2lWNubArHWmf3FIHbfcQ,"HEAT at HORNETS | FULL GAME HIGHLIGHTS | March 6, 2026",2026-03-07T02:48:04Z,42,9,5
2026-03-07T02:49:49+00:00,NCQhVKZ__Uw,UCWJ2lWNubArHWmf3FIHbfcQ,"Tyler Herro Was COOKING In Charlotte - 33 PTS, 9 REB, & 9 AST 🔥 | March 6, 2026",2026-03-07T02:45:04Z,196,9,9
2026-03-07T02:49:49+00:00,ejjwYF5b4dQ,UCWJ2lWNubArHWmf3FIHbfcQ,"Jayson Tatum's First Game In 298 days 🍀 | March 6, 2026",2026-03-07T02:38:44Z,2043,155,26
2026-03-07T02:50:19+00:00,MKYqc0u8-N4,UCWJ2lWNubArHWmf3FIHbfcQ,"HEAT at HORNETS | FULL GAME HIGHLIGHTS | March 6, 2026",2026-03-07T02:48:04Z,73,12,7
2026-03-07T02:50:19+00:00,NCQhVKZ__Uw,UCWJ2lWNubArHWmf3FIHbfcQ,"Tyler Herro Was COOKING In Charlotte - 33 PTS, 9 REB, & 9 AST 🔥 | March 6, 2026",2026-03-07T02:45:04Z,218,9,9
2026-03-07T02:50:19+00:00,ejjwYF5b4dQ,UCWJ2lWNubArHWmf3FIHbfcQ,"Jayson Tatum's First Game In 298 days 🍀 | March 6, 2026",2026-03-07T02:38:44Z,2333,161,28
2026-03-07T02:50:50+00:00,MKYqc0u8-N4,UCWJ2lWNubArHWmf3FIHbfcQ,"HEAT at HORNETS | FULL GAME HIGHLIGHTS | March 6, 2026",2026-03-07T02:48:04Z,112,15,8
