captured_at,video_id,channel_id,title,published_at,duration_seconds,view_count,like_count,comment_count
2026-03-24T18:16:54+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58078,1599,159
2026-03-24T18:17:24+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58078,1600,159
2026-03-24T18:17:54+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58078,1600,159
2026-03-24T18:18:25+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58078,1600,159
2026-03-24T18:18:55+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58078,1600,159
2026-03-24T18:19:25+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58078,1601,159
2026-03-24T18:19:56+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58078,1601,159
2026-03-24T18:20:26+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58078,1601,159
2026-03-24T18:20:56+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58194,1601,159
2026-03-24T18:21:26+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58194,1601,159
2026-03-24T18:21:57+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58194,1601,159
2026-03-24T18:22:27+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58194,1602,159
2026-03-24T18:22:57+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58194,1602,159
2026-03-24T18:23:27+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58194,1602,159
2026-03-24T18:23:58+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58194,1602,159
2026-03-24T18:24:28+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58194,1602,159
2026-03-24T18:24:58+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58194,1602,159
2026-03-24T18:25:29+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58194,1602,159
2026-03-24T18:25:59+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58241,1602,159
2026-03-24T18:26:29+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58241,1602,159
2026-03-24T18:26:59+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58241,1602,159
2026-03-24T18:27:30+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58241,1602,159
2026-03-24T18:28:00+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58241,1602,159
2026-03-24T18:28:30+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58241,1602,159
2026-03-24T18:29:01+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58241,1602,159
2026-03-24T18:29:31+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58241,1602,159
2026-03-24T18:30:01+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58241,1602,159
2026-03-24T18:30:31+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58241,1602,159
2026-03-24T18:31:02+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58278,1602,159
2026-03-24T18:31:32+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58278,1602,159
2026-03-24T18:32:02+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58278,1602,159
2026-03-24T18:32:33+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58278,1603,159
2026-03-24T18:33:03+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58278,1603,159
2026-03-24T18:33:33+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58278,1603,159
2026-03-24T18:34:03+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58278,1603,159
2026-03-24T18:34:34+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58278,1603,159
2026-03-24T18:35:04+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58278,1603,159
2026-03-24T18:35:34+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58278,1603,159
2026-03-24T18:36:04+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58313,1603,159
2026-03-24T18:36:35+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58314,1603,159
2026-03-24T18:37:05+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58314,1603,159
2026-03-24T18:37:35+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58314,1603,159
2026-03-24T18:38:05+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58314,1603,159
2026-03-24T18:38:36+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58314,1603,159
2026-03-24T18:39:06+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58314,1603,159
2026-03-24T18:39:36+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58314,1603,159
2026-03-24T18:40:07+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58314,1603,159
2026-03-24T18:40:37+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58314,1603,159
2026-03-24T18:41:07+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58414,1603,159
2026-03-24T18:41:37+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58418,1603,159
2026-03-24T18:42:08+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58418,1603,159
2026-03-24T18:42:38+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58418,1603,159
2026-03-24T18:43:08+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58418,1603,159
2026-03-24T18:43:38+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58418,1603,159
